student_uni_id,coursecode,attendance
2400030342,24EC2106,92
2400030342,24MT2012,100
2400030342,24SC2006,91
2400030342,24SDCS01,97
2400030352,24AD2103,100
2400030352,24AD2001,92
2400030352,24AD01HF,100
2400030352,24CS2202,90
2400030352,24MT2019,93
2400030352,24SC2006,92
2400030352,24SDCS01,75
2400030352,OEPY0001,84
2400030365,24AD2103,91
2400030365,24AD2001,88
2400030365,24CS2202,79
2400030365,24EC2106,96
2400030365,24MT2019,85
2400030365,24SC2006,70
2400030365,24SDCS01,77
2400030366,24AD2001,88
2400030366,24AD01HF,69
2400030366,24CS2202,79
2400030366,24CS2101,86
2400030366,24MT2019,85
2400030366,24SDCS01,84
2400030366,24CS2203,77
2400030384,24AD2103,100
2400030384,24AD2001,100
2400030384,24AD01HF,100
2400030384,24CS2101,100
2400030384,24MT2019,100
2400030384,24SC2006,97
2400030384,24SDCS01,91
2400030384,OEEE0013,94
2400030389,24AD2001,100
2400030389,24CS2202,100
2400030389,24CS2101,88
2400030389,24EC2106,92
2400030389,24MT2019,100
2400030389,24SDCS01,100
2400030389,24CS2203,100
2400030389,23UC0008,91
2400030396,24AD2103,75
2400030396,24AD2001,96
2400030396,24AD01HF,78
2400030396,24CS2101,88
2400030396,24MT2019,79
2400030396,24SC2006,93
2400030396,24SDCS01,92
2400030396,23FL3058,74
2400030413,24AD2001,72
2400030413,24AD01HF,76
2400030413,24CS2202,88
2400030413,24CS2101,72
2400030413,24MT2012,54
2400030413,24SDCS01,55
2400030413,24CS2203,67
2400030413,23UC0008,50
2400030417,24AD2103,62
2400030417,24AD2001,79
2400030417,24CS2202,64
2400030417,24MT2012,65
2400030417,24SC2006,51
2400030417,24SDCS01,80
2400030417,23FL3058,37
2400030420,24AD2103,97
2400030420,24AD2001,88
2400030420,24CS2202,87
2400030420,24MT2019,86
2400030420,24SC2006,79
2400030420,24SDCS01,100
2400030420,24MB4055,89
2400030422,24AD2103,93
2400030422,24AD2001,100
2400030422,24AD01HF,82
2400030422,24CS2101,100
2400030422,24MT2019,100
2400030422,24SC2006,100
2400030422,24SDCS01,100
2400030422,OEAR0001,100
2400030423,24AD2103,91
2400030423,24AD2001,79
2400030423,24CS2101,93
2400030423,24MT2019,77
2400030423,24SC2006,76
2400030423,24SDCS01,100
2400030423,OEAR0001,80
2400030438,24AD2103,96
2400030438,24AD2001,92
2400030438,24AD01HF,87
2400030438,24CS2101,96
2400030438,24MT2012,93
2400030438,24SC2006,97
2400030438,24SDCS01,100
2400030438,23UC0008,100
2400030441,24AD2103,91
2400030441,24AD2001,100
2400030441,24CS2202,93
2400030441,24MT2012,85
2400030441,24SC2006,91
2400030441,24SDCS01,100
2400030441,OEAR0001,100
2400030443,24AD2103,100
2400030443,24AD2001,96
2400030443,24CS2101,92
2400030443,24MT2012,93
2400030443,24SC2006,100
2400030443,24SDCS01,96
2400030443,23UC0008,100
2400030444,24AD2103,89
2400030444,24AD2001,100
2400030444,24CS2202,84
2400030444,24MT2012,100
2400030444,24SC2006,87
2400030444,24SDCS01,88
2400030447,24AD2103,96
2400030447,24AD2001,92
2400030447,24CS2202,83
2400030447,24EC2106,92
2400030447,24MT2012,93
2400030447,24SC2006,96
2400030447,24SDCS01,100
2400030448,24AD2001,96
2400030448,24CS2202,96
2400030448,24CS2101,84
2400030448,24EC2106,88
2400030448,24MT2019,85
2400030448,24SDCS01,92
2400030449,24AD2103,81
2400030449,24AD2001,96
2400030449,24CS2202,82
2400030449,24MT2012,86
2400030449,24SC2006,90
2400030449,24SDCS01,84
2400030450,24AD2103,93
2400030450,24AD2001,89
2400030450,24CS2202,100
2400030450,24MT2012,100
2400030450,24SC2006,100
2400030450,24SDCS01,92
2400030454,24AD2103,87
2400030454,24AD2001,92
2400030454,24CS2101,83
2400030454,24MT2019,100
2400030454,24SC2006,77
2400030454,24SDCS01,89
2400030454,OEAR0001,80
2400030455,24AD2001,100
2400030455,24AD01HF,83
2400030455,24CS2101,88
2400030455,24MT2019,84
2400030455,24SDCS01,96
2400030455,24CS2203,92
2400030455,24MB4055,78
2400030459,24AD2103,100
2400030459,24AD2001,100
2400030459,24AD01HF,92
2400030459,24CS2101,100
2400030459,24MT2012,100
2400030459,24SC2006,100
2400030459,24SDCS01,100
2400030459,23UC0009,100
2400030460,24AD2103,100
2400030460,24AD2001,100
2400030460,24CS2101,100
2400030460,24EC2106,100
2400030460,24MT2019,100
2400030460,24SC2006,100
2400030460,24SDCS01,100
2400030463,24AD2103,96
2400030463,24AD2001,88
2400030463,24AD01HF,79
2400030463,24CS2202,93
2400030463,24MT2019,86
2400030463,24SC2006,88
2400030463,24SDCS01,92
2400030465,24AD2103,100
2400030465,24AD2001,100
2400030465,24AD01HF,100
2400030465,24CS2101,100
2400030465,24MT2012,100
